compound label,p value,adjusted p value,FC: POST/PRE
CSH_posESI..288,0.0323225247273034,0.376511759881422,0.739430948865924
CSH_posESI..290,0.157618282226716,0.507403153559069,0.906112215786288
CSH_posESI..293,0.0586378726343107,0.389291859566922,0.896237237581737
CSH_posESI..301,0.000856601332848905,0.251266557912961,0.833136094674556
CSH_posESI..303,0.310413408200634,0.645089122086909,1.09511698880977
CSH_posESI..310,0.307704556327359,0.645089122086909,0.930720245937637
X1.11,0.101606927079394,0.430953518302257,0.888896863561329
X10.42,0.145748100198978,0.484510351308639,0.822669318804097
X9.56,0.462156151855108,0.76334152136895,0.989029695479478
X10.78,0.00299169049271193,0.286205057136108,0.636370223819802
X9.32,0.468126043848753,0.764799540341984,1.26676808186973
X5.09,0.465092259714213,0.763580259076392,0.86361919153759
X10.13,0.105091717125156,0.435958650047903,1.65746478873239
X9.56.1,0.515280652635454,0.792412912051884,1.22440142638818
X10.73,0.275171020149804,0.622663321974599,0.822305124680935
X10.71,0.510050037604082,0.792412912051884,0.805488519616631
X4.70,0.983484646907644,0.995001429880905,0.854415954415955
X4.82,0.593320331677184,0.844378191031497,1.0067312446622
X10.79,0.110162773592683,0.438753756489846,0.862093909602816
X2.19,0.421311616883459,0.737697952233833,0.795008912655972
X6.19,0.342606580949756,0.672011388801168,0.937881873727088
X6.19.1,0.344527617093271,0.6726491571821,0.970446735395189
X6.82,0.347021065900499,0.673094919696531,0.977456647398844
X6.82.1,0.334606003639982,0.666888354476909,1.00763358778626
X4.52,0.731296964156016,0.902072616244026,1.13768192550305
X10.76,0.120487325259763,0.460090179193923,0.636927316569067
X5.35,0.341658372829081,0.672011388801168,0.835971588026382
X11.16,0.0281930416123938,0.376511759881422,0.463182897862233
X9.92,0.72226467410654,0.902072616244026,0.876739797121963
X8.39,0.228577975925856,0.57210941067489,0.286921812632073
X8.40,0.510983416243128,0.792412912051884,0.965758053615679
X11.17,0.056602707681829,0.389291859566922,0.864684014869889
X5.04,0.263803562783989,0.612808957255955,1.01356451993395
X10.41,0.0475922373101195,0.381756263235724,0.73534832288979
X4.78,0.881910864854373,0.964309105565824,0.918319882013443
X10.74,0.0421424472092283,0.378884353424953,0.895335608646189
X4.71,0.202969366172014,0.553072433828755,0.860307351515991
X10.14,0.3920220613473,0.71359618355185,0.00444152431011827
X10.05,0.349378943336273,0.673531826865363,0.954190953123717
X10.87,0.236085505430861,0.585791412610867,0.580652469415496
X10.46,0.978282723354748,0.995001429880905,0.994710417787341
X10.56,0.237272275710305,0.587044337317737,0.751104341203351
X4.99,0.119308839121739,0.458593350374182,0.607409024883463
X5.07,0.30243768904355,0.645089122086909,1.04582547703447
X4.79,0.055255143849016,0.389291859566922,0.881155476477053
X4.70.1,0.0736820050428219,0.409360697780074,0.848285675565795
X10.85,0.657015916494356,0.868058394118808,1.03698421931586
X10.78.1,0.249692760046057,0.600518062568869,1.35030652577236
X4.55,0.695672701750856,0.886616585922315,0.866840731070496
X4.64,0.198240553266542,0.552379017354347,0.864959568733154
X4.68,0.728263549705208,0.902072616244026,1.05981835264641
X4.58,0.214491569184129,0.561853902089481,0.105831749524857
X4.45,0.979091344122723,0.995001429880905,0.783943216152703
X6.00,0.752027503843108,0.904022227576474,0.875282567977782
X6.10,0.87427820096456,0.962600423312642,0.963055565921558
X4.75,0.465597718949019,0.763580259076392,0.823099033185263
X6.35,0.0470536140227446,0.381756263235724,0.80672268907563
X6.41,0.856249167591169,0.954961830694296,0.98814552391334
X5.00,0.256506373000935,0.610088362303328,1.3275627970129
X5.60,0.266489738398284,0.615935083820064,0.902993779160187
X10.31,0.616441442260733,0.86161701588716,1.11515088013412
X9.68,0.893974316851277,0.964309105565824,0.996852196308485
X0.83,0.530208644265382,0.803714159705095,1
X0.94,0.19740479349639,0.551836127273999,1.09865339578454
X1.17,0.0853816168113439,0.409360697780074,2.49725145280352
X1.18,0.432782596729654,0.747084621692469,0.944685088374409
X1.19,0.957582669543111,0.987368350376815,1.01339182636804
X1.20,0.00685253187589229,0.327779441396848,0.207626377470701
X1.32,0.0370957804921354,0.376511759881422,0.861970024304618
X1.44,0.324382473957258,0.657160729593409,0.741628954524932
X1.44.1,0.827456238485743,0.941135827392636,0.5
X1.45,0.0346815810675604,0.376511759881422,0.849780701754386
X1.58,0.371822845469587,0.691445939415366,1.31995540691193
X1.59,0.20129569545388,0.553072433828755,0.991089108910891
X1.71,0.701580879484988,0.889633486357253,0.950469992769342
X2.19.1,0.21073173366279,0.561193603585597,0.723912010319777
X2.30,0.231939253596766,0.578839702454539,0.00017991239048811
X2.54,0.217667249524505,0.56449247542349,0.93705743509048
X3.42,0.00260866485951701,0.286205057136108,0.879126460132047
X3.71,0.076561481426116,0.409360697780074,2.11491538764266
X4.10,0.219018007226299,0.564594324017496,0.557130942452043
X4.10.1,0.720511483682645,0.901686609666799,0.925344745601522
X4.12,0.22556472909875,0.56873759076477,0.865357967667437
X4.20,0.7917046810227,0.921100694913746,0.899788657978161
X4.20.1,0.501465309226903,0.786451058732902,1.00081416649705
X4.39,0.791265556715407,0.921100694913746,0.954976826307658
X4.41,0.211832661051474,0.561193603585597,1.37669435942282
X4.41.1,0.670621386209077,0.869545654489168,0.956874466268147
X4.50,0.0269439216627637,0.376511759881422,0.000591482649842271
X4.52.1,0.644396973016781,0.868058394118808,0.918729463307777
X4.52.2,0.88024692130781,0.964309105565824,3.52217529039071
X4.61,0.500238435047154,0.785958563094159,1.07755838757316
X4.61.1,0.187426840843186,0.544760676759805,0.71149484158923
X4.67,0.623090910853728,0.865308625986848,0.856270037094852
X4.69,0.201799449206345,0.553072433828755,1.0081285620854
X4.69.1,0.57461203271667,0.831497412048828,0.833619948409286
X4.69.2,0.517425805715788,0.792711065340379,0.85004412826616
X4.71.1,0.768705069566084,0.911976648355265,0.96254891000559
X4.75.1,0.299659278840964,0.645089122086909,0.812040767954492
X4.75.2,0.710018465823426,0.895678650403958,0.95200749151352
X4.75.3,0.292072765993386,0.644806798770015,0.901692516364923
X4.76,0.622081748566685,0.865308625986848,1
X4.76.1,0.0806742904799948,0.409360697780074,3.29318448883666
X4.77,0.192181347997381,0.545238326744866,0.985117065381307
X4.77.1,0.979035033707383,0.995001429880905,1
X4.77.2,0.528560638667398,0.803714159705095,0.986254295532646
X4.77.3,0.757496185237233,0.907099047968369,1
X4.77.4,0.083250487096302,0.409360697780074,0.659802086119283
X4.78.1,0.373458099333582,0.692990136909944,0.976706266014442
X4.78.2,0.0300430273382292,0.376511759881422,73134.309623431
X4.78.3,0.435582439128478,0.747084621692469,0.774633904194589
X4.78.4,0.137156286287111,0.479885920884723,0.932139303482587
X4.78.5,0.730832276440156,0.902072616244026,0.796419835445853
X4.79.1,0.054152741067285,0.389291859566922,1.47079337401918
X4.79.2,0.752557225742515,0.904022227576474,0.809886945392492
X4.79.3,0.00228933089747972,0.286205057136108,0.842031425364759
X4.79.4,0.891839736863713,0.964309105565824,1.84172661870504
X4.80,0.163397725204268,0.509172839514691,0.20329804501774
X4.80.1,0.641025606618177,0.868058394118808,0.138808943989374
X4.80.2,0.99383709080131,0.995001429880905,0.977983777520278
X4.80.3,0.43519362825251,0.747084621692469,1
X4.80.4,0.0453444968737433,0.381756263235724,0.923109332209817
X4.80.5,0.429950928633134,0.746346269260339,0.954194792671167
X4.81,0.614069548491947,0.859697367888726,1
X4.81.1,0.471618878093984,0.764939972919031,1.04290589956119
X4.81.2,0.191302256113399,0.545238326744866,0.868661150010609
X4.81.3,0.915177728774768,0.970054653431727,1.43494996150885
X4.81.4,0.635816148289806,0.868058394118808,1.07116615933662
X4.81.5,0.671601541598048,0.869545654489168,0.966710978176581
X4.81.6,0.868459906979702,0.957418668258033,0.650193382036957
X4.81.7,0.582542451611587,0.838013030914162,0.78698317874548
X4.81.8,0.695298796471592,0.886616585922315,0.754236017393912
X4.81.9,0.752826872441733,0.904022227576474,1.20467859562428
X4.81.10,0.662832719422099,0.869545654489168,1.5217665615142
X4.82.1,0.738465538221852,0.904022227576474,1.01232869463993
X4.82.2,0.107269490410443,0.435958650047903,0.968388589051658
X4.82.3,0.358127305912029,0.679290749286683,1.01123700284422
X4.83,0.838304228921149,0.945650698017071,0.830572122818644
X4.83.1,0.512837743613177,0.792412912051884,1.27576158940397
X4.83.2,0.0227387684313995,0.376511759881422,0.000170888763090858
X4.83.3,0.0465417006693011,0.381756263235724,0.884801675611991
X4.83.4,0.077156219937087,0.409360697780074,0.907187133523203
X4.83.5,0.163810541864773,0.509172839514691,0.882332155477032
X4.84,0.712581575446956,0.896977684882791,1.07412972702229
X4.84.1,0.0875150284125541,0.409360697780074,0.846687395359962
X4.84.2,0.6476774223162,0.868058394118808,0.716238933094251
X4.85,0.936123583155069,0.977590359783192,1
X4.85.1,0.0424776029145361,0.378884353424953,0.755057208237986
X4.85.2,0.0292442324255631,0.376511759881422,0.710157068062827
X4.85.3,0.0641300442688649,0.400409991831297,0.946563543680787
X4.85.4,0.0376583165749868,0.376511759881422,0.547464820192093
X4.86,0.126137175288999,0.472191773581862,0.850508346931091
X4.86.1,0.16793143393671,0.516389159355382,0.879325455589471
X4.87,0.0732610334930654,0.409360697780074,0.961214264662541
X4.88,0.525175354889821,0.801730461986056,0.755555555555556
X4.88.1,0.544616750081958,0.804313931081589,0.911828167908984
X4.89,0.219868508570771,0.565094883222191,0.830943847072879
X4.89.1,0.28017159234614,0.628197242213611,0.351217725691265
X4.90,0.494707991349408,0.785111852282114,0.829967851286175
X4.90.1,0.64641857827508,0.868058394118808,0.88319722840881
X4.90.2,0.0709071047479152,0.409360697780074,0.800400956126147
X4.90.3,0.314086113953514,0.64585516306096,4.6594849351961
X4.90.4,0.0435650998711618,0.378884353424953,0.915228544776119
X4.90.5,0.13280744709373,0.479105196012428,0.744491766478574
X4.90.6,0.0182941461366103,0.376511759881422,0.819717444717445
X4.91,0.158101257519947,0.507403153559069,0.896986054880792
X4.91.1,0.15502147431439,0.503587659348228,0.83184789067142
X4.91.2,0.0447673373999354,0.381756263235724,1
X4.91.3,0.0349222864072687,0.376511759881422,6.05020673360898
X4.93,0.543915497767031,0.804313931081589,0.912736189239867
